Product,Units Sold,Revenue
Webcam,184,10141
Monitor,146,9416
USB Drive,84,10311
Headphones,77,27365
Webcam,186,13745
Microphone,136,15726
Keyboard,239,7223
Webcam,178,25441
USB Drive,188,23672
Headphones,214,14595
Monitor,76,11471
USB Drive,112,14986
USB Drive,174,32807
Keyboard,132,17945
Printer,205,24209
Headphones,242,27155
Mouse,68,32813
USB Drive,245,9988
Printer,138,22561
Mouse,207,25512
Headphones,71,32314
Laptop,138,21393
Microphone,261,19781
Printer,124,13475
Speaker,84,26730
Laptop,192,17567
Microphone,129,25155
Keyboard,85,30032
Webcam,119,7372
Monitor,175,15959
Speaker,214,23697
Keyboard,136,6976
Headphones,97,30643
Keyboard,231,28051
Webcam,120,29810
Headphones,85,32393
Speaker,125,18431
Webcam,152,23293
Mouse,184,31008
Monitor,160,26558
